idJEMS;seq;campo;status;valor_csv;valor_milanesa
5656;1;titleOrig;OK;;
5656;1;autores;OK;José Aires de Castro Filho | Francisco Herbert Lima Vasconcelos;José Aires de Castro Filho | Francisco Herbert Lima Vasconcelos
5656;1;abstractOrig;OK;;
5656;1;abstractEn;OK;;
5656;1;pages;OK;0;firstPage=0
5663;2;titleOrig;OK;;
5663;2;autores;OK;Thais Helena Chaves de Castro | Maria de Fátima Costa de Souza;Thais Helena Chaves de Castro | Maria de Fátima Costa de Souza
5663;2;abstractOrig;OK;;
5663;2;abstractEn;OK;;
5663;2;pages;OK;i;firstPage=i
5646;3;titleOrig;OK;;
5646;3;autores;OK;Galileu Santos de Jesus | Kleber Santos | Jaine Conceição | Elisalvo Ribeiro | Alberto Costa Neto;Galileu Santos de Jesus | Kleber Santos | Jaine Conceição | Elisalvo Ribeiro | Alberto Costa Neto
5646;3;pages;OK;1-10;firstPage=1
5647;4;titleOrig;OK;;
5647;4;autores;OK;Eduardo Soares | Luiz Carlos Carchedi | João Gomes Jr. | Eduardo Barrére | Jairo Souza;Eduardo Soares | Luiz Carlos Carchedi | Jorão Gomes Jr. | Eduardo Barrére | Jairo Souza
5647;4;pages;OK;11-20;firstPage=11
5648;5;titleOrig;OK;;
5648;5;autores;OK;André Almeida | Taynar Gomes | Vivianne Leal | Reinaldo Gomes | Luciana Leal;Andre Almeida | Taynar Gomes | Vivianne Leal | Reinaldo Gomes | Luciana Leal
5648;5;pages;OK;21-30;firstPage=21
